,Institute,Academic Program Name,Quota,Seat Type,Gender,Closing Rank,Closing Rank 2024,Closing Rank 2023,Closing Rank 2022,Closing Rank 2021,Closing Rank 2020,State
133,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,2164,2025,2321,1788,2209,2080,Maharashtra
134,Indian Institute of Technology Bombay,"Chemistry (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),719,3101,2890,2399,2570,2677,Maharashtra
137,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,4250,4046,4371,3471,3304,3388,Maharashtra
138,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),8597,8833,7857,7079,7597,7845,Maharashtra
140,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,725,769,854,693,652,747,Maharashtra
141,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),1643,2029,2162,1628,1775,1725,Maharashtra
143,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,1829,1979,2034,1633,1631,1645,Maharashtra
144,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),4597,4709,4500,4889,3910,3589,Maharashtra
146,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,946,1002,1115,851,880,843,Maharashtra
147,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),1778,1986,1796,1817,1557,1602,Maharashtra
148,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,290,331,335,257,149,156,Maharashtra
149,Indian Institute of Technology Bombay,"Civil Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),522,623,770,612,617,244,Maharashtra
150,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,66,68,67,61,67,66,Maharashtra
151,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),369,421,291,305,361,248,Maharashtra
152,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,4,3,5,5,8,2,Maharashtra
153,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Female-only (including Supernumerary),12,7,35,,,5,Maharashtra
154,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Gender-Neutral,20,23,20,18,19,18,Maharashtra
155,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS,Female-only (including Supernumerary),53,79,74,57,62,167,Maharashtra
156,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,EWS (PwD),Gender-Neutral,3,3,2,2,4,4,Maharashtra
157,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Gender-Neutral,54,50,58,51,50,44,Maharashtra
158,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL,Female-only (including Supernumerary),331,274,227,136,166,338,Maharashtra
159,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,OBC-NCL (PwD),Gender-Neutral,3,2,7,2,2,3,Maharashtra
160,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Gender-Neutral,31,32,27,23,28,29,Maharashtra
161,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC,Female-only (including Supernumerary),270,71,113,107,107,107,Maharashtra
162,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,SC (PwD),Gender-Neutral,1,1,5,1,1,1,Maharashtra
163,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Gender-Neutral,19,13,10,9,11,13,Maharashtra
164,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST,Female-only (including Supernumerary),76,40,87,55,198,27,Maharashtra
165,Indian Institute of Technology Bombay,"Computer Science and Engineering (4 Years, Bachelor of Technology)",AI,ST (PwD),Gender-Neutral,1,1,1,2,1,1,Maharashtra
166,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OPEN,Gender-Neutral,2372,2408,2102,2107,2032,2257,Maharashtra
167,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OPEN,Female-only (including Supernumerary),4928,4408,5963,4590,4431,4704,Maharashtra
168,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,EWS,Gender-Neutral,554,525,508,437,429,574,Maharashtra
169,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,EWS,Female-only (including Supernumerary),978,920,895,674,868,1090,Maharashtra
170,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OBC-NCL,Gender-Neutral,1405,1255,1330,1191,1189,937,Maharashtra
171,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,OBC-NCL,Female-only (including Supernumerary),3344,2705,1343,1693,2832,4915,Maharashtra
172,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,SC,Gender-Neutral,855,722,811,882,894,715,Maharashtra
173,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,SC,Female-only (including Supernumerary),1565,373,1654,1215,1182,955,Maharashtra
174,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,ST,Gender-Neutral,828,222,973,436,493,861,Maharashtra
175,Indian Institute of Technology Bombay,"Economics (4 Years, Bachelor of Science)",AI,ST,Female-only (including Supernumerary),564,714,480,1102,277,,Maharashtra
176,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Gender-Neutral,433,496,481,369,434,298,Maharashtra
177,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN,Female-only (including Supernumerary),1914,1339,1286,1341,916,924,Maharashtra
178,Indian Institute of Technology Bombay,"Electrical Engineering (4 Years, Bachelor of Technology)",AI,OPEN (PwD),Gender-Neutral,23,30,32,38,52,33,Maharashtra
